team_id,school_name,prefecture,start_round,odds,sqrt_odds,sqrt_odds_capped,odds_source,start_round_source
k2025_40,津田学園,三重,1,385,19.621417,19.621417,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_41,佐賀北,佐賀,1,520,22.803509,22.803509,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_42,高川学園,山口,2,624,24.979992,24.979992,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_43,松商学園,長野,2,1006,31.717503,31.717503,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_44,日大山形,山形,1,1200,34.641016,34.641016,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_45,開星,島根,1,1486,38.548671,38.548671,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_46,中越,新潟,2,1951,44.170126,44.170126,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_47,旭川志峯,北北海道,1,1951,44.170126,44.170126,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_48,鳥取城北,鳥取,1,2837,53.263496,50.000000,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
k2025_49,未来富山,富山,2,3902,62.465991,50.000000,https://neo-bookmaker.com/news/baseball/koshien-2025/,https://www.jhbf.or.jp/sensyuken/2025/tournament/
